Alex,2039289,NORTH EAST,MD,MIDDLEBORO,MA,12/16/2020 0730,12/16/2020 0730,1896,on time,0
Alex,55907,MOREHEAD CITY,NC,FORT WAYNE,IN,12/16/2020 0800,12/16/2020 0800,1887,on time,90
Alex,42453605,FRONT ROYAL,VA,AVON,NY,12/16/2020 0800,12/16/2020 0800,1916,on time,60
Alex,342227227,GLOUCESTER CITY,NJ,SYRACUSE,NY,12/16/2020 0900,12/16/2020 0900,1865,late,0
Alex,9741271,EDWARDSVILLE,IL,FRANKLIN PARK,IL,12/16/2020 0200,12/16/2020 1000,1875,on time,285
Alex,2048175,MORRIS,IL,WEST CHESTER,OH,12/16/2020 1000,12/16/2020 1000,1829,on time,0
Alex,435080,HALEYVILLE,AL,KIRKWOOD,NY,12/16/2020 1000,12/16/2020 1000,3068,on time,11
Alex,342880217,WILTON,NY,INDIANAPOLIS,IN,12/16/2020 0800,12/16/2020 1530,1970,on time,358
Alex,30199490,LEXINGTON,NC,LEXINGTON,NC,12/16/2020 0700,12/16/2020 1600,3107,on time,346
Alex,340327700,TROY,PA,MENLO,GA,12/16/2020 0700,12/16/2020 1630,1913,on time,40
Alua,53736451,NAZARETH,PA,WINTHROP,ME,12/15/2020 1900,12/15/2020 1900,1915,Delivered,0
Alua,U3023689,CHICAGO,IL,BATAVIA,NY,12/15/2020 2200,12/15/2020 2200,3193,Delivered,0
Alua,342863745,WATERLOO,IA,LA FAYETTE,IN,12/16/2020 1100,12/16/2020 1100,2944,on time,0
Alua,468490,DAVENPORT,IA,CINCINNATI,OH,12/16/2020 0400,12/16/2020 0400,3122,paperlogs,0
Alua,53745282,CHICAGO,IL,BLUFFTON,IN,12/16/2020 0600,12/16/2020 0600,1894,on time,0
Alua,52105,PEDRICKTOWN,NJ,PITTSBURGH,PA,12/16/2020 0800,12/16/2020 0800,1968,late / emailed,75
Alua,341704663,LATROBE,PA,VALPARAISO,IN,12/16/2020 0800,12/16/2020 0800,3191,late / emailed,335
Alua,24509,GLENS FALLS,NY,WILLIAMSBURG,PA,12/16/2020 1000,12/16/2020 1000,1978,late / emailed,282
Alua,1144768,ANGOLA,NY,ELGIN,IL,12/16/2020 0800,12/16/2020 1130,1901,on time,355
Alua,342337808,BEDFORD,PA,DES PLAINES,IL,12/16/2020 0800,12/16/2020 1200,1929,on time,334
Alua,3804855,BELVIDERE,IL,TOANO,VA,12/16/2020 0700,12/16/2020 1400,3141,paper logbook,0
Alua,341462963,ELWOOD,IL,CEDAR RAPIDS,IA,12/16/2020 0730,12/16/2020 1530,2944,on time,311
Alua,342880210,WILTON,NY,INDIANAPOLIS,IN,12/16/2020 0800,12/16/2020 1530,1836,late,604
Alua,342866228,EDISON,NJ,CHICAGO,IL,12/16/2020 0800,12/16/2020 1600,1944,on time,68
Alua,5918795,NORTH EAST,PA,OXFORD,ME,12/16/2020 0800,12/16/2020 1600,1849,on time,268
Alua,7683202,IRVINE,PA,GREENSBORO,NC,12/16/2020 0001,12/16/2020 1800,1912,on time,564
Alua,343009410,GREENSBORO,NC,APOLLO,PA,12/16/2020 0700,12/16/2020 1800,1876,on time,247
Andrew,342959137,CALDWELL,NJ,FREEDOM,PA,12/16/2020 0600,12/16/2020 0600,1923,late / emailed,0
Andrew,342225722,BEDFORD,PA,MENDOTA HEIGHTS,MN,12/16/2020 0600,12/16/2020 0800,1939,on time,0
Andrew,342225740,BEDFORD,PA,BLOOMINGTON,MN,12/16/2020 0800,12/16/2020 0800,1227,on time,0
Andrew,185343,TWO RIVERS,WI,CHILLICOTHE,IL,12/16/2020 0800,12/16/2020 1200,3183,on time,0
